TAA_ID,TAA_DATE,TAA_SHIFT,TAA_WKNO,TAA_CHE_TYPE,TAA_MOVE_KIND,TAA_AGV_ID,TAA_DRIVER,TAA_DRIVENAME,TAA_CNTRID,TAA_AGO_GROUP_ID,TAA_CSIZECD,TAA_CSTATUSCD,TAA_DNGCD,TAA_OVLMTCD,TAA_CTYPECD,TAA_SETTMPT,TAA_WK_STTIME,TAA_WK_EDTIME,TAA_FREE1_ARRTIME,TAA_FREE1_EDTIME,TAA_FREE2_ARRTIME,TAA_FREE2_EDTIME,TAA_FULL1_ARRTIME,TAA_FULL1_EDTIME,TAA_FULL2_ARRTIME,TAA_FULL2_EDTIME,TAA_CONTRACTOR,TAA_VOY_ID,TAA_CNL_WAIT_SECONDS,TAA_CNL_AGO_ID,TAA_PRIOR_EDTIME,TAA_VALIDFG,TAA_WI_ID,TAA_ORC_ID,TAA_CNTRNO,TAA_CREATEUSER,TAA_FREE_PB_ARRTIME,TAA_FREE_PB_EDTIME,TAA_FULL_PB_ARRTIME,TAA_FULL_PB_EDTIME,TAA_FREE1_ST_TP_ID,TAA_FREE1_ED_TP_ID,TAA_FREE2_ST_TP_ID,TAA_FREE2_ED_TP_ID,TAA_FULL1_ST_TP_ID,TAA_FULL1_ED_TP_ID,TAA_FULL2_ST_TP_ID,TAA_FULL2_ED_TP_ID,TAA_FREE_PB_ID,TAA_FULL_PB_ID,TAA_MILEAGE,TAA_CREATEDT
"TAA-20260910-000028","2026-09-10",2,"W04","AGV","EXPORT","AGV-028","SIM","Simulation AGV","CNTR-0000028","AGO-G-28","20","FULL","N","N","20GP","","2026-09-10 00:05:24","2026-09-10 00:21:16","2026-09-10 00:05:24","2026-09-10 00:05:34","2026-09-10 00:13:48","2026-09-10 00:13:58","2026-09-10 00:08:06","2026-09-10 00:08:24","2026-09-10 00:09:24","2026-09-10 00:09:44","SYNTHETIC","VOY-010",7,"AGO-000028","2026-09-10 00:08:24","Y","WI-0000028","ORC-0000028","SYN0000028","SIMULATOR","2026-09-10 00:05:29","2026-09-10 00:05:32","2026-09-10 00:07:58","2026-09-10 00:08:03","TP-F1-S-28","TP-F1-E-28","TP-F2-S-28","TP-F2-E-28","TP-L1-S-28","TP-L1-E-28","TP-L2-S-28","TP-L2-E-28","PB-FREE-04","PB-FULL-04",5247.9,"2026-09-10 00:00:00"
"TAA-20260910-000029","2026-09-10",2,"W05","AGV","IMPORT","AGV-029","SIM","Simulation AGV","CNTR-0000029","AGO-G-29","40","FULL","N","N","40HQ","","2026-09-10 00:05:36","2026-09-10 00:32:21","2026-09-10 00:05:36","2026-09-10 00:05:46","2026-09-10 00:23:32","2026-09-10 00:23:42","2026-09-10 00:12:16","2026-09-10 00:12:34","2026-09-10 00:15:02","2026-09-10 00:15:22","SYNTHETIC","VOY-011",8,"AGO-000029","2026-09-10 00:08:36","Y","WI-0000029","ORC-0000029","SYN0000029","SIMULATOR","2026-09-10 00:05:41","2026-09-10 00:05:44","2026-09-10 00:12:08","2026-09-10 00:12:13","TP-F1-S-29","TP-F1-E-29","TP-F2-S-29","TP-F2-E-29","TP-L1-S-29","TP-L1-E-29","TP-L2-S-29","TP-L2-E-29","PB-FREE-05","PB-FULL-05",9282.9,"2026-09-10 00:00:00"
"TAA-20260910-000030","2026-09-10",2,"W06","AGV","EXPORT","AGV-030","SIM","Simulation AGV","CNTR-0000030","AGO-G-01","40","FULL","N","N","40HQ","","2026-09-10 00:05:48","2026-09-10 00:34:34","2026-09-10 00:05:48","2026-09-10 00:05:58","2026-09-10 00:17:52","2026-09-10 00:18:02","2026-09-10 00:09:44","2026-09-10 00:10:02","2026-09-10 00:11:29","2026-09-10 00:11:49","SYNTHETIC","VOY-012",9,"AGO-000030","2026-09-10 00:08:48","Y","WI-0000030","ORC-0000030","SYN0000030","SIMULATOR","2026-09-10 00:05:53","2026-09-10 00:05:56","2026-09-10 00:09:36","2026-09-10 00:09:41","TP-F1-S-30","TP-F1-E-30","TP-F2-S-30","TP-F2-E-30","TP-L1-S-30","TP-L1-E-30","TP-L2-S-30","TP-L2-E-30","PB-FREE-06","PB-FULL-06",10136.4,"2026-09-10 00:00:00"
"TAA-20260910-000031","2026-09-10",2,"W07","AGV","IMPORT","AGV-031","SIM","Simulation AGV","CNTR-0000031","AGO-G-02","20","FULL","N","N","20GP","","2026-09-10 00:06:00","2026-09-10 00:32:54","2026-09-10 00:06:00","2026-09-10 00:06:10","2026-09-10 00:17:55","2026-09-10 00:18:05","2026-09-10 00:10:48","2026-09-10 00:11:06","2026-09-10 00:12:52","2026-09-10 00:13:12","SYNTHETIC","VOY-013",10,"AGO-000031","2026-09-10 00:09:00","Y","WI-0000031","ORC-0000031","SYN0000031","SIMULATOR","2026-09-10 00:06:05","2026-09-10 00:06:08","2026-09-10 00:10:40","2026-09-10 00:10:45","TP-F1-S-31","TP-F1-E-31","TP-F2-S-31","TP-F2-E-31","TP-L1-S-31","TP-L1-E-31","TP-L2-S-31","TP-L2-E-31","PB-FREE-07","PB-FULL-07",9514.9,"2026-09-10 00:00:00"
"TAA-20260910-000032","2026-09-10",2,"W08","AGV","EXPORT","AGV-032","SIM","Simulation AGV","CNTR-0000032","AGO-G-03","40","FULL","N","N","40HQ","","2026-09-10 00:06:12","2026-09-10 00:33:21","2026-09-10 00:06:12","2026-09-10 00:06:22","2026-09-10 00:18:12","2026-09-10 00:18:22","2026-09-10 00:11:58","2026-09-10 00:12:16","2026-09-10 00:14:24","2026-09-10 00:14:44","SYNTHETIC","VOY-014",11,"AGO-000032","2026-09-10 00:09:12","Y","WI-0000032","ORC-0000032","SYN0000032","SIMULATOR","2026-09-10 00:06:17","2026-09-10 00:06:20","2026-09-10 00:11:50","2026-09-10 00:11:55","TP-F1-S-32","TP-F1-E-32","TP-F2-S-32","TP-F2-E-32","TP-L1-S-32","TP-L1-E-32","TP-L2-S-32","TP-L2-E-32","PB-FREE-08","PB-FULL-08",9652.5,"2026-09-10 00:00:00"
"TAA-20260910-000033","2026-09-10",2,"W01","AGV","IMPORT","AGV-033","SIM","Simulation AGV","CNTR-0000033","AGO-G-04","40","FULL","N","N","40HQ","","2026-09-10 00:06:24","2026-09-10 00:33:49","2026-09-10 00:06:24","2026-09-10 00:06:34","2026-09-10 00:17:07","2026-09-10 00:17:17","2026-09-10 00:09:08","2026-09-10 00:09:26","2026-09-10 00:10:26","2026-09-10 00:10:46","SYNTHETIC","VOY-015",12,"AGO-000033","2026-09-10 00:09:24","Y","WI-0000033","ORC-0000033","SYN0000033","SIMULATOR","2026-09-10 00:06:29","2026-09-10 00:06:32","2026-09-10 00:09:00","2026-09-10 00:09:05","TP-F1-S-33","TP-F1-E-33","TP-F2-S-33","TP-F2-E-33","TP-L1-S-33","TP-L1-E-33","TP-L2-S-33","TP-L2-E-33","PB-FREE-09","PB-FULL-09",9504.8,"2026-09-10 00:00:00"
"TAA-20260910-000034","2026-09-10",2,"W02","AGV","EXPORT","AGV-034","SIM","Simulation AGV","CNTR-0000034","AGO-G-05","20","FULL","N","N","20GP","","2026-09-10 00:06:36","2026-09-10 00:32:54","2026-09-10 00:06:36","2026-09-10 00:06:46","2026-09-10 00:17:55","2026-09-10 00:18:05","2026-09-10 00:10:55","2026-09-10 00:11:13","2026-09-10 00:12:48","2026-09-10 00:13:08","SYNTHETIC","VOY-016",13,"AGO-000034","2026-09-10 00:09:36","Y","WI-0000034","ORC-0000034","SYN0000034","SIMULATOR","2026-09-10 00:06:41","2026-09-10 00:06:44","2026-09-10 00:10:47","2026-09-10 00:10:52","TP-F1-S-34","TP-F1-E-34","TP-F2-S-34","TP-F2-E-34","TP-L1-S-34","TP-L1-E-34","TP-L2-S-34","TP-L2-E-34","PB-FREE-10","PB-FULL-10",9189.3,"2026-09-10 00:00:00"
"TAA-20260910-000035","2026-09-10",2,"W03","AGV","IMPORT","AGV-035","SIM","Simulation AGV","CNTR-0000035","AGO-G-06","40","FULL","N","N","40HQ","","2026-09-10 00:06:48","2026-09-10 00:31:12","2026-09-10 00:06:48","2026-09-10 00:06:58","2026-09-10 00:17:08","2026-09-10 00:17:18","2026-09-10 00:11:31","2026-09-10 00:11:49","2026-09-10 00:13:34","2026-09-10 00:13:54","SYNTHETIC","VOY-017",14,"AGO-000035","2026-09-10 00:09:48","Y","WI-0000035","ORC-0000035","SYN0000035","SIMULATOR","2026-09-10 00:06:53","2026-09-10 00:06:56","2026-09-10 00:11:23","2026-09-10 00:11:28","TP-F1-S-35","TP-F1-E-35","TP-F2-S-35","TP-F2-E-35","TP-L1-S-35","TP-L1-E-35","TP-L2-S-35","TP-L2-E-35","PB-FREE-11","PB-FULL-11",8602.7,"2026-09-10 00:00:00"
"TAA-20260910-000036","2026-09-10",2,"W04","AGV","EXPORT","AGV-036","SIM","Simulation AGV","CNTR-0000036","AGO-G-07","40","FULL","N","N","40HQ","","2026-09-10 00:07:00","2026-09-10 00:31:45","2026-09-10 00:07:00","2026-09-10 00:07:10","2026-09-10 00:17:12","2026-09-10 00:17:22","2026-09-10 00:12:45","2026-09-10 00:13:03","2026-09-10 00:15:11","2026-09-10 00:15:31","SYNTHETIC","VOY-018",15,"AGO-000036","2026-09-10 00:10:00","Y","WI-0000036","ORC-0000036","SYN0000036","SIMULATOR","2026-09-10 00:07:05","2026-09-10 00:07:08","2026-09-10 00:12:37","2026-09-10 00:12:42","TP-F1-S-36","TP-F1-E-36","TP-F2-S-36","TP-F2-E-36","TP-L1-S-36","TP-L1-E-36","TP-L2-S-36","TP-L2-E-36","PB-FREE-12","PB-FULL-12",8773.6,"2026-09-10 00:00:00"
"TAA-20260910-000037","2026-09-10",2,"W05","AGV","IMPORT","AGV-037","SIM","Simulation AGV","CNTR-0000037","AGO-G-08","20","FULL","N","N","20GP","","2026-09-10 00:07:12","2026-09-10 00:33:36","2026-09-10 00:07:12","2026-09-10 00:07:22","2026-09-10 00:18:44","2026-09-10 00:18:54","2026-09-10 00:09:28","2026-09-10 00:09:46","2026-09-10 00:10:36","2026-09-10 00:10:56","SYNTHETIC","VOY-001",4,"AGO-000037","2026-09-10 00:10:12","Y","WI-0000037","ORC-0000037","SYN0000037","SIMULATOR","2026-09-10 00:07:17","2026-09-10 00:07:20","2026-09-10 00:09:20","2026-09-10 00:09:25","TP-F1-S-37","TP-F1-E-37","TP-F2-S-37","TP-F2-E-37","TP-L1-S-37","TP-L1-E-37","TP-L2-S-37","TP-L2-E-37","PB-FREE-01","PB-FULL-01",9045.1,"2026-09-10 00:00:00"
"TAA-20260910-000038","2026-09-10",2,"W06","AGV","EXPORT","AGV-038","SIM","Simulation AGV","CNTR-0000038","AGO-G-09","40","FULL","N","N","40HQ","","2026-09-10 00:07:24","2026-09-10 00:30:46","2026-09-10 00:07:24","2026-09-10 00:07:34","2026-09-10 00:16:53","2026-09-10 00:17:03","2026-09-10 00:09:18","2026-09-10 00:09:36","2026-09-10 00:10:18","2026-09-10 00:10:38","SYNTHETIC","VOY-002",5,"AGO-000038","2026-09-10 00:10:24","Y","WI-0000038","ORC-0000038","SYN0000038","SIMULATOR","2026-09-10 00:07:29","2026-09-10 00:07:32","2026-09-10 00:09:10","2026-09-10 00:09:15","TP-F1-S-38","TP-F1-E-38","TP-F2-S-38","TP-F2-E-38","TP-L1-S-38","TP-L1-E-38","TP-L2-S-38","TP-L2-E-38","PB-FREE-02","PB-FULL-02",8017,"2026-09-10 00:00:00"
"TAA-20260910-000039","2026-09-10",2,"W07","AGV","IMPORT","AGV-039","SIM","Simulation AGV","CNTR-0000039","AGO-G-10","40","FULL","N","N","40HQ","","2026-09-10 00:07:36","2026-09-10 00:31:05","2026-09-10 00:07:36","2026-09-10 00:07:46","2026-09-10 00:16:43","2026-09-10 00:16:53","2026-09-10 00:10:21","2026-09-10 00:10:39","2026-09-10 00:11:40","2026-09-10 00:12:00","SYNTHETIC","VOY-003",6,"AGO-000039","2026-09-10 00:10:36","Y","WI-0000039","ORC-0000039","SYN0000039","SIMULATOR","2026-09-10 00:07:41","2026-09-10 00:07:44","2026-09-10 00:10:13","2026-09-10 00:10:18","TP-F1-S-39","TP-F1-E-39","TP-F2-S-39","TP-F2-E-39","TP-L1-S-39","TP-L1-E-39","TP-L2-S-39","TP-L2-E-39","PB-FREE-03","PB-FULL-03",8089.7,"2026-09-10 00:00:00"
"TAA-20260910-000040","2026-09-10",2,"W08","AGV","EXPORT","AGV-040","SIM","Simulation AGV","CNTR-0000040","AGO-G-11","20","FULL","N","N","20GP","","2026-09-10 00:07:48","2026-09-10 00:30:15","2026-09-10 00:07:48","2026-09-10 00:07:58","2026-09-10 00:17:26","2026-09-10 00:17:36","2026-09-10 00:11:35","2026-09-10 00:11:53","2026-09-10 00:13:17","2026-09-10 00:13:37","SYNTHETIC","VOY-004",7,"AGO-000040","2026-09-10 00:10:48","Y","WI-0000040","ORC-0000040","SYN0000040","SIMULATOR","2026-09-10 00:07:53","2026-09-10 00:07:56","2026-09-10 00:11:27","2026-09-10 00:11:32","TP-F1-S-40","TP-F1-E-40","TP-F2-S-40","TP-F2-E-40","TP-L1-S-40","TP-L1-E-40","TP-L2-S-40","TP-L2-E-40","PB-FREE-04","PB-FULL-04",7763.1,"2026-09-10 00:00:00"
"TAA-20260910-000041","2026-09-10",2,"W01","AGV","IMPORT","AGV-041","SIM","Simulation AGV","CNTR-0000041","AGO-G-12","40","FULL","N","N","40HQ","","2026-09-10 00:08:00","2026-09-10 00:35:10","2026-09-10 00:08:00","2026-09-10 00:08:10","2026-09-10 00:21:27","2026-09-10 00:21:37","2026-09-10 00:11:34","2026-09-10 00:11:52","2026-09-10 00:13:11","2026-09-10 00:13:31","SYNTHETIC","VOY-005",8,"AGO-000041","2026-09-10 00:11:00","Y","WI-0000041","ORC-0000041","SYN0000041","SIMULATOR","2026-09-10 00:08:05","2026-09-10 00:08:08","2026-09-10 00:11:26","2026-09-10 00:11:31","TP-F1-S-41","TP-F1-E-41","TP-F2-S-41","TP-F2-E-41","TP-L1-S-41","TP-L1-E-41","TP-L2-S-41","TP-L2-E-41","PB-FREE-05","PB-FULL-05",9397.9,"2026-09-10 00:00:00"
"TAA-20260910-000042","2026-09-10",2,"W02","AGV","EXPORT","AGV-042","SIM","Simulation AGV","CNTR-0000042","AGO-G-13","40","FULL","N","N","40HQ","","2026-09-10 00:08:12","2026-09-10 00:31:07","2026-09-10 00:08:12","2026-09-10 00:08:22","2026-09-10 00:17:21","2026-09-10 00:17:31","2026-09-10 00:10:12","2026-09-10 00:10:30","2026-09-10 00:11:14","2026-09-10 00:11:34","SYNTHETIC","VOY-006",9,"AGO-000042","2026-09-10 00:11:12","Y","WI-0000042","ORC-0000042","SYN0000042","SIMULATOR","2026-09-10 00:08:17","2026-09-10 00:08:20","2026-09-10 00:10:04","2026-09-10 00:10:09","TP-F1-S-42","TP-F1-E-42","TP-F2-S-42","TP-F2-E-42","TP-L1-S-42","TP-L1-E-42","TP-L2-S-42","TP-L2-E-42","PB-FREE-06","PB-FULL-06",7807.8,"2026-09-10 00:00:00"
"TAA-20260910-000043","2026-09-10",2,"W03","AGV","IMPORT","AGV-043","SIM","Simulation AGV","CNTR-0000043","AGO-G-14","20","FULL","N","N","20GP","","2026-09-10 00:08:24","2026-09-10 00:29:01","2026-09-10 00:08:24","2026-09-10 00:08:34","2026-09-10 00:17:00","2026-09-10 00:17:10","2026-09-10 00:10:57","2026-09-10 00:11:15","2026-09-10 00:12:12","2026-09-10 00:12:32","SYNTHETIC","VOY-007",10,"AGO-000043","2026-09-10 00:11:24","Y","WI-0000043","ORC-0000043","SYN0000043","SIMULATOR","2026-09-10 00:08:29","2026-09-10 00:08:32","2026-09-10 00:10:49","2026-09-10 00:10:54","TP-F1-S-43","TP-F1-E-43","TP-F2-S-43","TP-F2-E-43","TP-L1-S-43","TP-L1-E-43","TP-L2-S-43","TP-L2-E-43","PB-FREE-07","PB-FULL-07",7013.1,"2026-09-10 00:00:00"
"TAA-20260910-000044","2026-09-10",2,"W04","AGV","EXPORT","AGV-044","SIM","Simulation AGV","CNTR-0000044","AGO-G-15","40","FULL","N","N","40HQ","","2026-09-10 00:08:36","2026-09-10 00:28:40","2026-09-10 00:08:36","2026-09-10 00:08:46","2026-09-10 00:17:22","2026-09-10 00:17:32","2026-09-10 00:12:08","2026-09-10 00:12:26","2026-09-10 00:13:44","2026-09-10 00:14:04","SYNTHETIC","VOY-008",11,"AGO-000044","2026-09-10 00:11:36","Y","WI-0000044","ORC-0000044","SYN0000044","SIMULATOR","2026-09-10 00:08:41","2026-09-10 00:08:44","2026-09-10 00:12:00","2026-09-10 00:12:05","TP-F1-S-44","TP-F1-E-44","TP-F2-S-44","TP-F2-E-44","TP-L1-S-44","TP-L1-E-44","TP-L2-S-44","TP-L2-E-44","PB-FREE-08","PB-FULL-08",6928.3,"2026-09-10 00:00:00"
"TAA-20260910-000045","2026-09-10",2,"W05","AGV","IMPORT","AGV-045","SIM","Simulation AGV","CNTR-0000045","AGO-G-16","40","FULL","N","N","40HQ","","2026-09-10 00:08:48","2026-09-10 00:35:45","2026-09-10 00:08:48","2026-09-10 00:08:58","2026-09-10 00:22:25","2026-09-10 00:22:35","2026-09-10 00:13:46","2026-09-10 00:14:04","2026-09-10 00:15:54","2026-09-10 00:16:14","SYNTHETIC","VOY-009",12,"AGO-000045","2026-09-10 00:11:48","Y","WI-0000045","ORC-0000045","SYN0000045","SIMULATOR","2026-09-10 00:08:53","2026-09-10 00:08:56","2026-09-10 00:13:38","2026-09-10 00:13:43","TP-F1-S-45","TP-F1-E-45","TP-F2-S-45","TP-F2-E-45","TP-L1-S-45","TP-L1-E-45","TP-L2-S-45","TP-L2-E-45","PB-FREE-09","PB-FULL-09",9361.9,"2026-09-10 00:00:00"
"TAA-20260910-000046","2026-09-10",2,"W06","AGV","EXPORT","AGV-046","SIM","Simulation AGV","CNTR-0000046","AGO-G-17","20","FULL","N","N","20GP","","2026-09-10 00:09:00","2026-09-10 00:30:42","2026-09-10 00:09:00","2026-09-10 00:09:10","2026-09-10 00:19:22","2026-09-10 00:19:32","2026-09-10 00:12:43","2026-09-10 00:13:01","2026-09-10 00:14:23","2026-09-10 00:14:43","SYNTHETIC","VOY-010",13,"AGO-000046","2026-09-10 00:12:00","Y","WI-0000046","ORC-0000046","SYN0000046","SIMULATOR","2026-09-10 00:09:05","2026-09-10 00:09:08","2026-09-10 00:12:35","2026-09-10 00:12:40","TP-F1-S-46","TP-F1-E-46","TP-F2-S-46","TP-F2-E-46","TP-L1-S-46","TP-L1-E-46","TP-L2-S-46","TP-L2-E-46","PB-FREE-10","PB-FULL-10",7429.5,"2026-09-10 00:00:00"
"TAA-20260910-000047","2026-09-10",2,"W07","AGV","IMPORT","AGV-047","SIM","Simulation AGV","CNTR-0000047","AGO-G-18","40","FULL","N","N","40HQ","","2026-09-10 00:09:12","2026-09-10 00:26:44","2026-09-10 00:09:12","2026-09-10 00:09:22","2026-09-10 00:16:26","2026-09-10 00:16:36","2026-09-10 00:11:45","2026-09-10 00:12:03","2026-09-10 00:13:00","2026-09-10 00:13:20","SYNTHETIC","VOY-011",14,"AGO-000047","2026-09-10 00:12:12","Y","WI-0000047","ORC-0000047","SYN0000047","SIMULATOR","2026-09-10 00:09:17","2026-09-10 00:09:20","2026-09-10 00:11:37","2026-09-10 00:11:42","TP-F1-S-47","TP-F1-E-47","TP-F2-S-47","TP-F2-E-47","TP-L1-S-47","TP-L1-E-47","TP-L2-S-47","TP-L2-E-47","PB-FREE-11","PB-FULL-11",5956.2,"2026-09-10 00:00:00"
"TAA-20260910-000048","2026-09-10",2,"W08","AGV","EXPORT","AGV-048","SIM","Simulation AGV","CNTR-0000048","AGO-G-19","40","FULL","N","N","40HQ","","2026-09-10 00:09:24","2026-09-10 00:27:53","2026-09-10 00:09:24","2026-09-10 00:09:34","2026-09-10 00:17:02","2026-09-10 00:17:12","2026-09-10 00:13:22","2026-09-10 00:13:40","2026-09-10 00:15:08","2026-09-10 00:15:28","SYNTHETIC","VOY-012",15,"AGO-000048","2026-09-10 00:12:24","Y","WI-0000048","ORC-0000048","SYN0000048","SIMULATOR","2026-09-10 00:09:29","2026-09-10 00:09:32","2026-09-10 00:13:14","2026-09-10 00:13:19","TP-F1-S-48","TP-F1-E-48","TP-F2-S-48","TP-F2-E-48","TP-L1-S-48","TP-L1-E-48","TP-L2-S-48","TP-L2-E-48","PB-FREE-12","PB-FULL-12",6356.4,"2026-09-10 00:00:00"
"TAA-20260910-000049","2026-09-10",2,"W01","AGV","IMPORT","AGV-049","SIM","Simulation AGV","CNTR-0000049","AGO-G-20","20","FULL","N","N","20GP","","2026-09-10 00:09:36","2026-09-10 00:35:44","2026-09-10 00:09:36","2026-09-10 00:09:46","2026-09-10 00:24:06","2026-09-10 00:24:16","2026-09-10 00:14:06","2026-09-10 00:14:24","2026-09-10 00:16:03","2026-09-10 00:16:23","SYNTHETIC","VOY-013",4,"AGO-000049","2026-09-10 00:12:36","Y","WI-0000049","ORC-0000049","SYN0000049","SIMULATOR","2026-09-10 00:09:41","2026-09-10 00:09:44","2026-09-10 00:13:58","2026-09-10 00:14:03","TP-F1-S-49","TP-F1-E-49","TP-F2-S-49","TP-F2-E-49","TP-L1-S-49","TP-L1-E-49","TP-L2-S-49","TP-L2-E-49","PB-FREE-01","PB-FULL-01",8958.7,"2026-09-10 00:00:00"
"TAA-20260910-000050","2026-09-10",2,"W02","AGV","EXPORT","AGV-050","SIM","Simulation AGV","CNTR-0000050","AGO-G-21","40","FULL","N","N","40HQ","","2026-09-10 00:09:48","2026-09-10 00:31:12","2026-09-10 00:09:48","2026-09-10 00:09:58","2026-09-10 00:20:39","2026-09-10 00:20:49","2026-09-10 00:12:45","2026-09-10 00:13:03","2026-09-10 00:14:08","2026-09-10 00:14:28","SYNTHETIC","VOY-014",5,"AGO-000050","2026-09-10 00:12:48","Y","WI-0000050","ORC-0000050","SYN0000050","SIMULATOR","2026-09-10 00:09:53","2026-09-10 00:09:56","2026-09-10 00:12:37","2026-09-10 00:12:42","TP-F1-S-50","TP-F1-E-50","TP-F2-S-50","TP-F2-E-50","TP-L1-S-50","TP-L1-E-50","TP-L2-S-50","TP-L2-E-50","PB-FREE-02","PB-FULL-02",7263.1,"2026-09-10 00:00:00"
"TAA-20260910-000051","2026-09-10",2,"W03","AGV","IMPORT","AGV-051","SIM","Simulation AGV","CNTR-0000051","AGO-G-22","40","FULL","N","N","40HQ","","2026-09-10 00:10:00","2026-09-10 00:29:02","2026-09-10 00:10:00","2026-09-10 00:10:10","2026-09-10 00:18:08","2026-09-10 00:18:18","2026-09-10 00:12:05","2026-09-10 00:12:23","2026-09-10 00:13:09","2026-09-10 00:13:29","SYNTHETIC","VOY-015",6,"AGO-000051","2026-09-10 00:13:00","Y","WI-0000051","ORC-0000051","SYN0000051","SIMULATOR","2026-09-10 00:10:05","2026-09-10 00:10:08","2026-09-10 00:11:57","2026-09-10 00:12:02","TP-F1-S-51","TP-F1-E-51","TP-F2-S-51","TP-F2-E-51","TP-L1-S-51","TP-L1-E-51","TP-L2-S-51","TP-L2-E-51","PB-FREE-03","PB-FULL-03",6369.3,"2026-09-10 00:00:00"
"TAA-20260910-000052","2026-09-10",2,"W04","AGV","EXPORT","AGV-052","SIM","Simulation AGV","CNTR-0000052","AGO-G-23","20","FULL","N","N","20GP","","2026-09-10 00:10:12","2026-09-10 00:25:57","2026-09-10 00:10:12","2026-09-10 00:10:22","2026-09-10 00:16:44","2026-09-10 00:16:54","2026-09-10 00:11:45","2026-09-10 00:12:03","2026-09-10 00:12:37","2026-09-10 00:12:57","SYNTHETIC","VOY-016",7,"AGO-000052","2026-09-10 00:13:12","Y","WI-0000052","ORC-0000052","SYN0000052","SIMULATOR","2026-09-10 00:10:17","2026-09-10 00:10:20","2026-09-10 00:11:37","2026-09-10 00:11:42","TP-F1-S-52","TP-F1-E-52","TP-F2-S-52","TP-F2-E-52","TP-L1-S-52","TP-L1-E-52","TP-L2-S-52","TP-L2-E-52","PB-FREE-04","PB-FULL-04",5162.9,"2026-09-10 00:00:00"
"TAA-20260910-000053","2026-09-10",2,"W05","AGV","IMPORT","AGV-053","SIM","Simulation AGV","CNTR-0000053","AGO-G-24","40","FULL","N","N","40HQ","","2026-09-10 00:10:24","2026-09-10 00:37:26","2026-09-10 00:10:24","2026-09-10 00:10:34","2026-09-10 00:26:48","2026-09-10 00:26:58","2026-09-10 00:16:08","2026-09-10 00:16:26","2026-09-10 00:18:33","2026-09-10 00:18:53","SYNTHETIC","VOY-017",8,"AGO-000053","2026-09-10 00:13:24","Y","WI-0000053","ORC-0000053","SYN0000053","SIMULATOR","2026-09-10 00:10:29","2026-09-10 00:10:32","2026-09-10 00:16:00","2026-09-10 00:16:05","TP-F1-S-53","TP-F1-E-53","TP-F2-S-53","TP-F2-E-53","TP-L1-S-53","TP-L1-E-53","TP-L2-S-53","TP-L2-E-53","PB-FREE-05","PB-FULL-05",9347.1,"2026-09-10 00:00:00"
"TAA-20260910-000054","2026-09-10",2,"W06","AGV","EXPORT","AGV-054","SIM","Simulation AGV","CNTR-0000054","AGO-G-25","40","FULL","N","N","40HQ","","2026-09-10 00:10:36","2026-09-10 00:33:33","2026-09-10 00:10:36","2026-09-10 00:10:46","2026-09-10 00:22:50","2026-09-10 00:23:00","2026-09-10 00:14:50","2026-09-10 00:15:08","2026-09-10 00:16:42","2026-09-10 00:17:02","SYNTHETIC","VOY-018",9,"AGO-000054","2026-09-10 00:13:36","Y","WI-0000054","ORC-0000054","SYN0000054","SIMULATOR","2026-09-10 00:10:41","2026-09-10 00:10:44","2026-09-10 00:14:42","2026-09-10 00:14:47","TP-F1-S-54","TP-F1-E-54","TP-F2-S-54","TP-F2-E-54","TP-L1-S-54","TP-L1-E-54","TP-L2-S-54","TP-L2-E-54","PB-FREE-06","PB-FULL-06",7820.7,"2026-09-10 00:00:00"
"TAA-20260910-000055","2026-09-10",2,"W07","AGV","IMPORT","AGV-055","SIM","Simulation AGV","CNTR-0000055","AGO-G-26","20","FULL","N","N","20GP","","2026-09-10 00:10:48","2026-09-10 00:29:32","2026-09-10 00:10:48","2026-09-10 00:10:58","2026-09-10 00:20:40","2026-09-10 00:20:50","2026-09-10 00:14:15","2026-09-10 00:14:33","2026-09-10 00:15:49","2026-09-10 00:16:09","SYNTHETIC","VOY-001",10,"AGO-000055","2026-09-10 00:13:48","Y","WI-0000055","ORC-0000055","SYN0000055","SIMULATOR","2026-09-10 00:10:53","2026-09-10 00:10:56","2026-09-10 00:14:07","2026-09-10 00:14:12","TP-F1-S-55","TP-F1-E-55","TP-F2-S-55","TP-F2-E-55","TP-L1-S-55","TP-L1-E-55","TP-L2-S-55","TP-L2-E-55","PB-FREE-07","PB-FULL-07",6275.1,"2026-09-10 00:00:00"
"TAA-20260910-000056","2026-09-10",2,"W08","AGV","EXPORT","AGV-056","SIM","Simulation AGV","CNTR-0000056","AGO-G-27","40","FULL","N","N","40HQ","","2026-09-10 00:11:00","2026-09-10 00:26:30","2026-09-10 00:11:00","2026-09-10 00:11:10","2026-09-10 00:18:55","2026-09-10 00:19:05","2026-09-10 00:13:38","2026-09-10 00:13:56","2026-09-10 00:14:54","2026-09-10 00:15:14","SYNTHETIC","VOY-002",11,"AGO-000056","2026-09-10 00:14:00","Y","WI-0000056","ORC-0000056","SYN0000056","SIMULATOR","2026-09-10 00:11:05","2026-09-10 00:11:08","2026-09-10 00:13:30","2026-09-10 00:13:35","TP-F1-S-56","TP-F1-E-56","TP-F2-S-56","TP-F2-E-56","TP-L1-S-56","TP-L1-E-56","TP-L2-S-56","TP-L2-E-56","PB-FREE-08","PB-FULL-08",5172.3,"2026-09-10 00:00:00"
